Title,Category
Journal of Hazardous Materials,Pollution
Journal of Hazardous Materials,Waste Management and Disposal
Global Change Biology,Ecology
Global Change Biology,Environmental Chemistry
Global Change Biology,Environmental Science
Global Change Biology,Global and Planetary Change
Annual Review of Microbiology,Microbiology
Exercise Immunology Review,Sports Science
Microbiological Research,Microbiology
Cellular Microbiology,Immunology
Cellular Microbiology,Microbiology
Cellular Microbiology,Virology
Journal of General Virology,Virology
Progress in Materials Science,Materials Science
Current Opinion in Solid State and Materials Science,Materials Science
Acta Materialia,Ceramics and Composites
Acta Materialia,Electronic
Acta Materialia,Optical and Magnetic Materials
Acta Materialia,Metals and Alloys
Acta Materialia,Polymers and Plastics
Science and Technology of Advanced Materials,Materials Science
Journal of the European Ceramic Society,Ceramics and Composites
Journal of the European Ceramic Society,Materials Chemistry
Acta Numerica,Mathematics
Acta Numerica,Numerical Analysis
SIAM Review,Applied Mathematics
SIAM Review,Computational Mathematics
SIAM Review,Theoretical Computer Science
Applied Mathematical Modelling,Applied Mathematics
Applied Mathematical Modelling,Modeling and Simulation
Advances in Difference Equations,Algebra and Number Theory
Advances in Difference Equations,Analysis
Advances in Difference Equations,Applied Mathematics
Applied Mathematics and Computation,Applied Mathematics
Applied Mathematics and Computation,Computational Mathematics
Ca-A Cancer Journal for Clinicians,Hematology
Ca-A Cancer Journal for Clinicians,Oncology
New England Journal of Medicine,Medicine
Annals of Oncology,Hematology
Annals of Oncology,Medicine
Annals of Oncology,Oncology
Gut,Gastroenterology
JAMA - Journal of the American Medical Association,Medicine
Nature Neuroscience,Neuroscience
Nature Reviews Neuroscience,Neuroscience
Neuron,Neuroscience
Trends in Neurosciences,Neuroscience
Annual Review of Neuroscience,Neuroscience
International Journal of Nursing Studies,Nursing
Nursing Ethics,Issues
Nursing Ethics,Ethics and Legal Aspects
Journal of Nursing Management,Leadership and Management
International Journal of Mental Health Nursing,Psychiatry and Mental Health
International Nursing Review,Nursing
Annual Review of Pharmacology and Toxicology,Pharmacology
Annual Review of Pharmacology and Toxicology,Toxicology
Advanced Drug Delivery Reviews,Pharmaceutical Science
Trends in Pharmacological Sciences,Pharmacology
Trends in Pharmacological Sciences,Toxicology
Journal of Controlled Release,Pharmaceutical Science
Pharmacological Research,Pharmacology
Reviews of Modern Physics,Physics and Astronomy
Living Reviews in Relativity,Physics and Astronomy
Physics Reports,Physics and Astronomy
Advances in Physics,Condensed Matter Physics
Reports on Progress in Physics,Physics and Astronomy
Psychological Science in the Public Interest,Psychology
Annual Review of Psychology,Psychology
Personality and Social Psychology Review,Social Psychology
Educational Psychologist,Developmental and Educational Psychology
Journal of Applied Psychology,Applied Psychology
Review of Educational Research,Education
Transport Reviews,Transportation
American Sociological Review,Sociology and Political Science
Government Information Quarterly,E-learning
Government Information Quarterly,Law
Government Information Quarterly,Library and Information Sciences
Government Information Quarterly,Sociology and Political Science
Progress in Human Geography,Geography
Progress in Human Geography,Planning and Development
Veterinary Quarterly,Veterinary
Veterinary Research,Veterinary
Journal of Veterinary Internal Medicine,Veterinary
Veterinary Pathology,Veterinary
Research in Veterinary Science,Veterinary
Periodontology 2000,Periodontics
Journal of Dental Research,Dentistry
Journal of Clinical Periodontology,Periodontics
International Endodontic Journal,Dentistry
Journal of Endodontics,Dentistry
Physiotherapy,Physical Therapy
Physiotherapy,Sports Therapy and Rehabilitation
Physical Therapy,Physical Therapy
Physical Therapy,Sports Therapy and Rehabilitation
Adapted Physical Activity Quarterly,Physical Therapy
Adapted Physical Activity Quarterly,Sports Therapy and Rehabilitation
Physiotherapy Research International,Physical Therapy
Physiotherapy Research International,Sports Therapy and Rehabilitation
Physiotherapy Theory and Practice,Physical Therapy
Physiotherapy Theory and Practice,Sports Therapy and Rehabilitation
