Title,Category,Best.Subject.Area
Journal of Hazardous Materials,Toxicology and Mutagenesis,Environmental Science
Journal of Hazardous Materials,Pollution,Environmental Science
Journal of Hazardous Materials,Waste Management and Disposal,Environmental Science
Global Change Biology,Ecology,Environmental Science
Global Change Biology,Environmental Chemistry,Environmental Science
Global Change Biology,Environmental Science,Environmental Science
Global Change Biology,Global and Planetary Change,Environmental Science
Annual Review of Microbiology,Microbiology,Immunology and Microbiology
Exercise Immunology Review,Sports Science,Health Professions
Microbiological Research,Microbiology,Immunology and Microbiology
Cellular Microbiology,Immunology,Immunology and Microbiology
Cellular Microbiology,Microbiology,Immunology and Microbiology
Cellular Microbiology,Virology,Immunology and Microbiology
Journal of General Virology,Virology,Immunology and Microbiology
Progress in Materials Science,Materials Science,Materials Science
Current Opinion in Solid State and Materials Science,Materials Science,Materials Science
Acta Materialia,Ceramics and Composites,Materials Science
Acta Materialia,Electronic,Materials Science
Acta Materialia,Optical and Magnetic Materials,Materials Science
Acta Materialia,Metals and Alloys,Materials Science
Acta Materialia,Polymers and Plastics,Materials Science
Science and Technology of Advanced Materials,Materials Science,Materials Science
Journal of the European Ceramic Society,Ceramics and Composites,Materials Science
Journal of the European Ceramic Society,Materials Chemistry,Materials Science
Acta Numerica,Mathematics,Mathematics
Acta Numerica,Numerical Analysis,Mathematics
SIAM Review,Applied Mathematics,Mathematics
SIAM Review,Computational Mathematics,Mathematics
SIAM Review,Theoretical Computer Science,Mathematics
Applied Mathematical Modelling,Applied Mathematics,Mathematics
Applied Mathematical Modelling,Modeling and Simulation,Mathematics
Advances in Difference Equations,Algebra and Number Theory,Mathematics
Advances in Difference Equations,Analysis,Mathematics
Advances in Difference Equations,Applied Mathematics,Mathematics
Applied Mathematics and Computation,Applied Mathematics,Mathematics
Applied Mathematics and Computation,Computational Mathematics,Mathematics
Ca-A Cancer Journal for Clinicians,Hematology,Medicine
Ca-A Cancer Journal for Clinicians,Oncology,Medicine
New England Journal of Medicine,Medicine,Medicine
Annals of Oncology,Hematology,Medicine
Annals of Oncology,Medicine,Medicine
Annals of Oncology,Oncology,Medicine
Gut,Gastroenterology,Medicine
JAMA - Journal of the American Medical Association,Medicine,Medicine
Nature Neuroscience,Neuroscience,Neuroscience
Nature Reviews Neuroscience,Neuroscience,Neuroscience
Neuron,Neuroscience,Neuroscience
Trends in Neurosciences,Neuroscience,Neuroscience
Annual Review of Neuroscience,Neuroscience,Neuroscience
International Journal of Nursing Studies,Nursing,Nursing
Nursing Ethics,Issues,Nursing
Nursing Ethics,Ethics and Legal Aspects,Nursing
Journal of Nursing Management,Leadership and Management,Nursing
International Journal of Mental Health Nursing,Psychiatry and Mental Health,Medicine
International Nursing Review,Nursing,Nursing
Annual Review of Pharmacology and Toxicology,Pharmacology,"Pharmacology, Toxicology and Pharmaceutics"
Annual Review of Pharmacology and Toxicology,Toxicology,"Pharmacology, Toxicology and Pharmaceutics"
Advanced Drug Delivery Reviews,Pharmaceutical Science,"Pharmacology, Toxicology and Pharmaceutics"
Trends in Pharmacological Sciences,Pharmacology,"Pharmacology, Toxicology and Pharmaceutics"
Trends in Pharmacological Sciences,Toxicology,"Pharmacology, Toxicology and Pharmaceutics"
Journal of Controlled Release,Pharmaceutical Science,"Pharmacology, Toxicology and Pharmaceutics"
Pharmacological Research,Pharmacology,"Pharmacology, Toxicology and Pharmaceutics"
Reviews of Modern Physics,Physics and Astronomy,Physics and Astronomy
Living Reviews in Relativity,Physics and Astronomy,Physics and Astronomy
Physics Reports,Physics and Astronomy,Physics and Astronomy
Advances in Physics,Condensed Matter Physics,Physics and Astronomy
Reports on Progress in Physics,Physics and Astronomy,Physics and Astronomy
Psychological Science in the Public Interest,Psychology,Psychology
Annual Review of Psychology,Psychology,Psychology
Personality and Social Psychology Review,Social Psychology,Psychology
Educational Psychologist,Developmental and Educational Psychology,Psychology
Journal of Applied Psychology,Applied Psychology,Psychology
Review of Educational Research,Education,Social Sciences
Transport Reviews,Transportation,Social Sciences
American Sociological Review,Sociology and Political Science,Social Sciences
Government Information Quarterly,E-learning,Social Sciences
Government Information Quarterly,Law,Social Sciences
Government Information Quarterly,Library and Information Sciences,Social Sciences
Government Information Quarterly,Sociology and Political Science,Social Sciences
Progress in Human Geography,Geography,Social Sciences
Progress in Human Geography,Planning and Development,Social Sciences
Veterinary Quarterly,Veterinary,Veterinary
Veterinary Research,Veterinary,Veterinary
Journal of Veterinary Internal Medicine,Veterinary,Veterinary
Veterinary Pathology,Veterinary,Veterinary
Research in Veterinary Science,Veterinary,Veterinary
Periodontology 2000,Periodontics,Dentistry
Journal of Dental Research,Dentistry,Dentistry
Journal of Clinical Periodontology,Periodontics,Dentistry
International Endodontic Journal,Dentistry,Dentistry
Journal of Endodontics,Dentistry,Dentistry
Physiotherapy,Physical Therapy,Health Professions
Physiotherapy,Sports Therapy and Rehabilitation,Health Professions
Physical Therapy,Physical Therapy,Health Professions
Physical Therapy,Sports Therapy and Rehabilitation,Health Professions
Adapted Physical Activity Quarterly,Physical Therapy,Health Professions
Adapted Physical Activity Quarterly,Sports Therapy and Rehabilitation,Health Professions
Physiotherapy Research International,Physical Therapy,Health Professions
Physiotherapy Research International,Sports Therapy and Rehabilitation,Health Professions
Physiotherapy Theory and Practice,Physical Therapy,Health Professions
Physiotherapy Theory and Practice,Sports Therapy and Rehabilitation,Health Professions
